brand,model,aliases,year,format_primary,formats_other,max_field_w_mm,max_field_h_mm,hoop_name,hoop_w_mm,hoop_h_mm,hoop_code,trimmer,source_url,confidence,notes
Brother,PE800,,2017,pes,"pec,dst",130,180,"5x7 hoop (SA439/130x180)",130,180,,no,https://www.sewingmachinefun.com/brother-pe800-review/,high,"5x7 marketing = 130x180mm true field; trims thread ends between colors but does NOT trim jump stitches"
Brother,PE800,,2017,pes,"pec,dst",130,180,"4x4 hoop (100x100)",100,100,,no,https://www.magnetichoop.com/blogs/news/brother-embroidery-hoop-sizes-ultimate-guide-to-dimensions-compatibility-and-selection,high,"optional 4x4; inch label 4x4 = 100x100mm field per Brother; inch-to-mm per Brother official spec"
Brother,PE900,,2021,pes,"pec,dst",130,180,"5x7 hoop (130x180)",130,180,,yes,https://www.sewingmachinefun.com/brother-pe800-review/,high,"PE900 adds automatic jump-stitch trimming + WiFi vs PE800; 5x7 field"
Brother,Innov-is NV800E,,2015,pes,"pec,dst",160,260,"6x10 hoop (160x260)",160,260,,yes,https://www.echidnasewing.com.au/brother-innov-is-nv800e-embroidery-only-machine,high,"6x10 marketing = 160x260mm field; machine field 5.7x9.45in per Brother"
Brother,Innov-is NV880E,,2022,pes,"pec,dst",160,260,"6x10 hoop (260x160)",260,160,,yes,https://www.thesewingstudio.co.uk/products/brother-innov-is-nv880e-embroidery-machine,high,"successor to NV800E; ships with 260x160mm, 150x150mm, 100x100mm hoops; optional 180x130 magnetic hoop"
Brother,Innov-is NV880E,,2022,pes,"pec,dst",160,260,"150x150 hoop",150,150,,yes,https://hoopingstation.com/blogs/news/brother-innov-is-nv880e-embroidery-machine-ultimate-features-buyers-guide,high,"included mid hoop"
Brother,Innov-is NV880E,,2022,pes,"pec,dst",160,260,"100x100 hoop",100,100,,yes,https://hoopingstation.com/blogs/news/brother-innov-is-nv880e-embroidery-machine-ultimate-features-buyers-guide,high,"included small hoop"
Brother,Luminaire Innov-is XP1/XP2/XP3,"XP1,XP2,XP3",2018,pes,"pec,dst",272,408,"10 5/8 x 16 hoop",272,408,,yes,https://www.maggieframes.com/blogs/embroidery-blogs/brother-hoops-ultimate-guide-to-types-sizes-and-smart-selection,medium,"272x408 = 10 5/8x16 inch-converted marketing; largest single hoop; flag inch-converted; verify exact mm vs manual"
Brother,Stellaire XE1/XJ1,"XE1,XJ1,XE2,XJ2",2019,pes,"pec,dst",240,360,"9.5x14 hoop",241,356,,yes,https://www.maggieframes.com/blogs/embroidery-blogs/brother-hoops-ultimate-guide-to-types-sizes-and-smart-selection,medium,"9.5x14in inch-converted ~241x356mm; verify against manual"
Janome,Memory Craft 9850,MC9850,2015,jef,"jef+,sew,dst",140,200,"SQ14a",140,140,0,yes,https://www.janome.com/wp-content/uploads/2014/10/inst-book-mc9850-u-english.pdf,high,"ships with SQ14a (140x140) + RE20a bonus hoop; SQ14a maps near JEF hoop-code 0 A-Standard family"
Janome,Memory Craft 9850,MC9850,2015,jef,"jef+,sew,dst",140,200,"RE20a",170,200,2,yes,https://www.janome.com/product/embroidery-hoop-re20a-170-x-200mm/,high,"RE20a = 170x200mm official; JEF hoop-code 2 'B Large' is 140x200 in the 2012 reverse-eng table — RE20a is a newer/larger hoop than the code table covers; note code/hoop mismatch"
Janome,Skyline S9,,2016,jef,"jef+,sew,dst",170,200,"SQ14a",140,140,0,yes,https://www.kenssewingcenter.com/janome-re20a-embroidery-hoop-for-mc9850-mc9900-skyline-s9.html,high,"shares RE20a/SQ14a with MC9850/MC9900"
Janome,Skyline S9,,2016,jef,"jef+,sew,dst",170,200,"RE20a",170,200,2,yes,https://www.kenssewingcenter.com/janome-re20a-embroidery-hoop-for-mc9850-mc9900-skyline-s9.html,high,"RE20a 170x200mm"
Janome,Memory Craft 500E,MC500E,2014,jef,"jef+,dst",140,200,"SQ14",140,140,0,yes,https://www.janome.com/product/embroidery-hoop-sq14-140mm-x-140mm/,high,"SQ14 = 140x140mm official; RE20a compatible"
Janome,Memory Craft 400E,MC400E,2013,jef,"jef+,sew,dst",140,200,"RE20A",170,200,2,yes,https://www.janomesewingcentre.com.au/shop/embroidery-machines-2/hoops-and-templates/janome-re20a-embroidery-hoop/,high,"RE20A for MC400E/MC500E"
Janome,Memory Craft 15000,HMC15000,2013,jef+,"jef,jpx,dst",230,300,"Giga Hoop (GR)",230,230,4,yes,https://www.janome.com/create-learn/janome-embroidery-formats/,medium,"JEF hoop-code 4 = D Giga 230x200 per 2012 reverse-eng table; HMC15000 supports larger fields via later firmware — verify exact max field vs manual"
Janome,Memory Craft 350E,"MC350E, Elna eXpressive 820 twin",2010,jef,sew,,,"Hoop A Standard",126,110,0,,https://edutechwiki.unige.ch/en/Elna_8300,medium,"MC350E = Elna eXpressive 820 twin; JEF hoop-code 0 A Standard 126x110"
Janome,Memory Craft 350E,MC350E,2010,jef,sew,,,"Hoop B Large",140,200,2,,https://edutechwiki.unige.ch/en/Elna_8300,medium,"shares hoop set with Elna 820/8300"
Janome,Memory Craft 350E,MC350E,2010,jef,sew,230,200,"Hoop D Giga",230,200,4,,https://edutechwiki.unige.ch/en/Elna_8300,medium,"Giga hoop requires software support, rotates mid-print"
