brand,model,aliases,year,format_primary,formats_other,max_field_w_mm,max_field_h_mm,hoop_name,hoop_w_mm,hoop_h_mm,hoop_code,trimmer,source_url,confidence,notes
Brother,PR600,"Brother Entrepreneur 6-Needle",2004,pes,"pec,dst",200,300,"Jumbo / Extra Large",200,300,,yes,https://www.embird.net/manual/0300formats.htm,high,"Single-head multi-needle, standard in prosumer catalogs. Requires PES Type 5.5."
Brother,PR600,"Brother Entrepreneur 6-Needle",2004,pes,"pec,dst",200,300,"Large",130,180,,yes,https://www.embird.net/manual/0300formats.htm,high,
Brother,PR600,"Brother Entrepreneur 6-Needle",2004,pes,"pec,dst",200,300,"Medium",100,100,,yes,https://www.embird.net/manual/0300formats.htm,high,
Brother,PR600,"Brother Entrepreneur 6-Needle",2004,pes,"pec,dst",200,300,"Small",60,40,,yes,https://www.embird.net/manual/0300formats.htm,high,
Brother,PE150,"Brother PE100, PE200",1998,pes,"pec",100,100,"Standard",100,100,,no,https://www.embird.net/manual/0300formats.htm,high,"Legacy models require older PES versions (v1-v6) to prevent file read errors."
Brother,PE180D,,2000,pes,"pec",108,108,"Standard",108,108,,no,https://maggieframestore.com/blogs/maggieframe-news/brother-embroidery-file-types-explained-compatibility-conversion-optimization,high,"Stitch limit per design is approx 120,000."
Brother,Innov-is 2500D,,2006,pes,"pec,dst",160,260,"Large",160,260,,yes,https://maggieframestore.com/blogs/maggieframe-news/brother-embroidery-file-types-explained-compatibility-conversion-optimization,high,
Brother,Innov-is 2500D,,2006,pes,"pec,dst",160,260,"Medium",130,180,,yes,https://maggieframestore.com/blogs/maggieframe-news/brother-embroidery-file-types-explained-compatibility-conversion-optimization,high,
Brother,Innov-is 2500D,,2006,pes,"pec,dst",160,260,"Small",100,100,,yes,https://maggieframestore.com/blogs/maggieframe-news/brother-embroidery-file-types-explained-compatibility-conversion-optimization,high,
Brother,Innov-is 4000D,"Brother Quattro",2008,pes,"pec,dst",180,300,"Extra Large",180,300,,yes,https://maggieframestore.com/blogs/maggieframe-news/brother-embroidery-file-types-explained-compatibility-conversion-optimization,high,"Dual USB ports, reads PES Type 6.0/8.0."
Brother,Innov-is 4000D,"Brother Quattro",2008,pes,"pec,dst",180,300,"Large",160,260,,yes,https://maggieframestore.com/blogs/maggieframe-news/brother-embroidery-file-types-explained-compatibility-conversion-optimization,high,
Brother,Innov-is 4000D,"Brother Quattro",2008,pes,"pec,dst",180,300,"Medium",130,180,,yes,https://maggieframestore.com/blogs/maggieframe-news/brother-embroidery-file-types-explained-compatibility-conversion-optimization,high,
Brother,Innov-is 4000D,"Brother Quattro",2008,pes,"pec,dst",180,300,"Small",100,100,,yes,https://maggieframestore.com/blogs/maggieframe-news/brother-embroidery-file-types-explained-compatibility-conversion-optimization,high,
Brother,Entrepreneur PR680W,,2021,pes,"pec,dst",200,300,"Extra Large",200,300,,yes,https://maggieframestore.com/blogs/maggieframe-news/brother-embroidery-file-types-explained-compatibility-conversion-optimization,high,
Brother,Innov-is NV880E,,2021,pes,"dst",160,260,"Large",160,260,,yes,https://maggieframestore.com/blogs/maggieframe-news/brother-embroidery-file-types-explained-compatibility-conversion-optimization,high,
Baby Lock,Altair 2,"BLTA2",2023,pes,"phc,phx,dst",240,355,"Extra Large",240,355,,yes,https://babylock.com/embroidery-comparison-charts,high,"Marketing material uses 9.5x14 inches; absolute field is 240x355mm."
Baby Lock,Altair 2,"BLTA2",2023,pes,"phc,phx,dst",240,355,"Square",240,240,,yes,https://babylock.com/embroidery-comparison-charts,high,"Nominal 9.5x9.5 inches."
Baby Lock,Altair 2,"BLTA2",2023,pes,"phc,phx,dst",240,355,"Medium",130,180,,yes,https://babylock.com/embroidery-comparison-charts,high,"Nominal 5x7 inches."
Baby Lock,Altair 2,"BLTA2",2023,pes,"phc,phx,dst",240,355,"Small",100,100,,yes,https://babylock.com/embroidery-comparison-charts,high,"Nominal 4x4 inches."
Baby Lock,Radiance,"BLRA",2024,pes,"phc,phx,dst",295,463,"Massive",295,463,,yes,https://babylock.com/embroidery-comparison-charts,high,"Nominal 11-5/8 x 18-1/4 inches."
Baby Lock,Bloom,"BLMBM",2020,pes,"phc,dst",130,180,"Medium",130,180,,yes,https://babylock.com/embroidery-comparison-charts,high,"Nominal 5x7 inches."
Baby Lock,Bloom,"BLMBM",2020,pes,"phc,dst",130,180,"Multi-Position",130,300,,yes,https://babylock.com/embroidery-comparison-charts,high,"Requires file splitting or multi-position placement in software."
Baby Lock,Aerial,"BLAE",2020,pes,"phc,dst",200,300,"Large",200,300,,yes,https://babylock.com/embroidery-comparison-charts,high,"Nominal 8x12 inches."
Baby Lock,Vesta,"BLVE",2021,pes,"phc,dst",160,260,"Medium Large",160,260,,yes,https://babylock.com/embroidery-comparison-charts,high,"Nominal 6.25 x 10.25 inches."
